鈍痛|どんつう|dull pain
腰掛け|こしかけ|1. seat, bench2. temporary job while looking for a better job or until one marri
一般に|いっぱんに|Generally / In general
異性|いせい|Opposite sex
肌色|はだいろ|Flesh/Skin color
三原色|さんげんしょく|three primary colors (colours), trichromatic
警戒するに越したことはない。|けいかいするに こしたことはない|You can't be too vigilant
水漏れ|みずもれ|Water leak
呼び寄せる|びよびよせる|To send for / To call together / To call / to summon
仏像|ぶつぞう|Image of buddha
この町は災害に対して何らの備えもない。|この まちは さいがいに たいして なんらの そなえもない|This town has made no provision against disaster.
一切|いっさい|Not at all / not one bit
資源の枯渇|しげんの こかつ|a drain on resources
公職|こうしょく|Public service / Public office
安全運転を心掛けてください。|あんぜんうんてんを こころがけてください|Please remember to drive safely.
塾|じゅく|cram school; private tutoring school; juku
話がこじれる|はなしがこじれる|A matter gets complicated
人形|にんぎょう|人の形に作ったおもちゃ
洗面所|せんめんじょ|Washroom
子供が歩き始めたとき、子供の成長を実感した。|こどもが あるき はじめたとき こどもの せいちょうを じっかんした|I got a real sense of my kid's growth when he started walking.
農業|のうぎょう|Farming / Agricultural
コード補完|ほかん|Code completion
この絵は赤と黒の対比が美しいですね。|この えは あかと くろの たいひが うつくしいですね|The contrast of the red and black in this picture is beautiful.
エロゲ||Erotic game (computer game, weird stuff)
冗談をかわきりに話を始める|じょうだんをかわきりに はなしを はじめる|introduce the speech with a joke.&nbsp;&nbsp;
飛ぶ|とぶ|To fly
うなぎはぬるぬるしていますね。|うなぎはぬるぬるしていますね|Eels are slimy.
がさがさ|がさがさ|Rustle (4 doubler)
常用|じょうよう|Common use / Daily use
載る|のる|To appear in print
部屋の中から笑い声が聞こえた。|へやの なかから いわらいごえが きこえた|I heard laughter coming from the room.
子供を小児科に連れて行くところです。|こどもを しょうにかに つれて いくところです|I'm about to take my kid to the pediatrician.
妖術師|ようじゅつし|Sorcerer
陰気なところだ|いんきなところだ|It is a dismal place
学校に対するあなたの寄付は、所得控除の対象になる。|がっこうに たいするあなたの きふは しょとくこうじょの たいしょうになる|Your contribution to the school is tax-deductible
私は寒がり屋だから、ミネソタで暮らすのは辛かった|わたしは がりさむがりやだからで くらすのは つらかった|I’m the type who easily gets cold and so living in Minnesota was painful
昔ながらのやり方。|むかしながらのやり かた|In the traditional [unchanged of old] style.
玩具|おもちゃ|toy; plaything
本心では彼女と結婚したいです|ほんしんでは かのじょと けっこんしたいです|I truly want to marry her
落ち着き|ちおちつき|Presence of mind / composure
目玉商品|めだましょうひん|Featured product / Loss leader
神経毒|しんけいどく|neurotoxin, nerve poison
台風の目|のたいふうのめ|The eye of a typhoon
衰弱|すいじゃく|weakness; debility; breakdown
まじない師|まじない し|Witch doctor
拾う|ひろう|To pick up something
返礼|へんれい|(1) return present; return gift; something done in return (as way of thanks); (2
死去する|しきょする|To die
友好|ゆうこう|Goodwill / Friendship
単に|たんに|Merely / Simply
彼女の言う事を真に受けてはいけません|かのじょの いう ことを しんに うけてはいけません|Don't take her too seriously
外見|がいけん|Outward appearance
鉄分|てつぶん|Iron (as in food, nutrients)
遠のく|とおのく|to become distant, to recede
笑いかける|わらいかける|To smile (at) / To grin (at)
私は今月中にその計画を策定したいと思います|わたしは こんげつじゅうにその けいかくを さくていしたいと おもいます|I would like to decide on the plan this month
大気汚染防止法|たいきおせんぼうしほう|Air pollution prevention law
百貨店|ひゃっかてん|Deparment Store (not デパート)
押っ始める|おっ はじめる|(col) (uk) (more emphatic than はじめる)
響く|ひびく|reverberate, vibrate
漢字は中国から伝わった。|かんじは ちゅうごくから つたわった|Chinese characters were transmitted from China.
彼の車は会社への途上で、故障した。|かれの くるまは かいしゃへの とじょうで こしょうした|His car broke down on the way to work
宿題を済ませてから遊びなさい。|しゅくだいを すませてから あそびなさい|Play after you finish doing your homework.
複製する|ふくせいする|To reproduce / duplicate
彼はあの赤毛の女の子に気があるみたいだ|かれはあの あかげの のおんなのこに きがあるみたいだ|He seems to be interested in that red haired girl
彼女は、20万からするバッグをいくつも持っている。|かのじょは  まんからするをいくつも もっている|She has many purses that are each worth 200,000 yen or more
公営|こうえい|Public management
簡易ベッドの組み立て方を教えてもらえますか。|かんいべっどの みくみたて かたを おしえてもらえますか|Will you show me how to set up a cot?
私はその人にデートに誘われました|わたしはその ひとにに さそわれました|I was asked out by that person for a date (neutral)
駆け出す|けかけだす|to run off; to break into a run; to start running
物語|ものがたり|Story / Tale / Narrative
基礎|きそ|Basis / Foundation
逃亡|とうぼう|Escape / Fleeing / Running away
伝染|でんせん|Contageous
怪物|かいぶつ|"Monster" - also monstrous I think - not 化け物
欲張り|よくばり|Greedy [Person]
ブラウン管|かん|CRT (eg TV)
細工|ざいく|こまかいものを作ること
配列要素|はいれつようそ|Array element
抱っこ|だっこ|hug
いつも月初めに彼と会います。|いつも つきはじめに かれと あいます|I always meet him at the beginning of the month.
例題|れいだい|example, exercise
溶け込む|けとけこむ|To melt into / To merge into / To blend
その事業は国が運営しています。|その じぎょうは くにが うんえいしています|The project is operated by the government.
良性|りょうせい|Benign
関数|かんすう|Function (programming)
遠距離恋愛|えんきょりれんあい|Long distance relationship
私は彼に何といったら良いか分からなかった。|わたしは かれに なにといったら よいか わからなかった|I didn't know what to say to him.
昼食はクッキーで間に合わせたの。|ちゅうしょくはで にまにあわせたの|I made do with cookies for lunch.
時計台|とけいだい|clock tower
